City,State,Median_Age,Male_Population,Female_Population,Total_Population,NumberofVeterans,Foreign_born,Average_Household_Size,State_Code,American_Indian_and_Alaska_Native,Hispanic_or_Latino,White,Asian,Black_or_African_American
Abilene,Texas,31.3,65212,60664,125876,9367,8129,2.64,TX,1813,33222,95487,2929,14449
Akron,Ohio,38.1,96886,100667,197553,12878,10024,2.24,OH,1845,3684,129192,9033,66551
Alafaya,Florida,33.5,39504,45760,85264,4176,15842,2.94,FL,,34897,63666,10336,6577
Alameda,California,41.4,37747,40867,78614,4504,18841,2.52,CA,1329,8265,44232,27984,7364
Albany,Georgia,33.3,31695,39414,71109,5409,861,2.38,GA,445,1783,17160,650,53440
Albany,New York,32.8,47627,50825,98452,3643,11948,2.08,NY,1611,9368,58368,8090,31303
Albuquerque,New Mexico,36,273323,285808,559131,37443,58200,2.49,NM,32243,271854,411847,25140,26774
Alexandria,Virginia,36.6,74989,78522,153511,10635,44030,2.2,VA,1133,25573,106215,13315,37168
Alhambra,California,41,42184,43388,85572,1673,44441,2.89,CA,687,31386,20811,44067,1905
Allen,Pennsylvania,33.5,60626,59581,120207,5691,19652,2.67,PA,1076,59176,74187,2670,22304
Allen,Texas,37.2,51324,46814,98138,3505,19649,3.04,TX,227,10615,69840,15790,13140
Amarillo,Texas,33.8,99391,100260,199651,11008,21124,2.64,TX,4260,65392,174214,8563,14050
Ames,Iowa,23,33814,31238,65052,2265,8606,2.16,IA,,2024,56157,8979,1103
Anaheim,California,33.6,179603,171135,350738,9796,137133,3.45,CA,2489,201593,259820,53270,9775
Anchorage,Alaska,32.2,152945,145750,298695,27492,33258,2.77,AK,36339,27261,212696,36825,23107
Ann Arbor,Michigan,28.1,58789,58281,117070,3614,20717,2.17,MI,1935,5888,90173,18797,9577
Antioch,California,34,54733,55809,110542,5681,24942,3.31,CA,3462,35563,51151,14333,23227
Apple Valley,California,34.3,32873,39312,72185,5714,5801,3.03,CA,1446,25928,60767,2281,9124
Appleton,Wisconsin,35.6,37217,38038,75255,4219,4454,2.49,WI,835,5139,64674,5561,3407
Arden-Arcade,California,41.5,47596,48680,96276,6511,13458,2.18,CA,2587,15273,69369,7355,13647
Arlington,Texas,32.6,191060,197062,388122,17050,79271,2.89,TX,2918,112078,251155,31804,92955
Arlington,Virginia,34.4,113981,115183,229164,12719,55205,2.19,VA,845,35911,171673,28595,22372
Arlington Heights,Illinois,45.9,37627,39369,76996,3027,14630,2.38,IL,,2742,66285,9975,1222
Arvada,Colorado,41,54870,60165,115035,8930,4921,2.49,CO,2370,16419,107639,2922,2985
Asheville,North Carolina,37.9,42100,46407,88507,4973,6630,2.18,NC,496,4146,77979,1939,9078
Atascocita,Texas,32.8,37424,40816,78240,4416,8657,3.03,TX,1024,20441,50630,2441,21491
Athens-Clarke County unified government,Georgia,26.5,57415,65148,122563,3953,12868,2.44,GA,593,13159,79931,6635,34583
Atlanta,Georgia,33.8,223960,239915,463875,18572,32016,2.15,GA,4606,18653,196316,24268,245367
Auburn,Washington,37.1,36837,39743,76580,5401,14842,2.73,WA,3042,10836,58293,12341,4032
Augusta-Richmond County consolidated government,Georgia,33.7,94662,101917,196579,19085,7915,2.67,GA,1667,9068,77940,4429,112271
Aurora,Colorado,34.2,177899,180971,358870,25158,65816,2.82,CO,8277,109396,239803,24673,61894
Aurora,Illinois,31.7,101964,101751,203715,4988,50980,3.3,IL,1179,86653,115903,17190,23736
Austin,Texas,32.7,475718,456122,931840,37414,181686,2.5,TX,10890,327680,708171,78916,81861
Avondale,Arizona,29.1,38712,41971,80683,4815,8355,3.18,AZ,613,34716,62176,2828,11592
Bakersfield,California,30.6,182154,191473,373627,12284,71575,3.23,CA,7357,180241,272853,31929,34240
Baldwin Park,California,35.8,38747,38309,77056,780,34322,4.13,CA,316,56282,36890,15505,1560
Baltimore,Maryland,34.7,294027,327822,621849,29540,49857,2.51,MD,7730,29953,207274,20161,396270
Baton Rouge,Louisiana,31.2,111492,117104,228596,10633,12268,2.52,LA,1119,7428,96730,7442,122634
Bay,Texas,32.9,37977,37508,75485,3478,13192,2.59,TX,2167,31672,48797,2819,16782
Bayam??n,Puerto Rico,39.4,80128,90131,170259,,,,PR,,169155,,,
Bayonne,New Jersey,39.7,32705,33598,66303,2225,21899,2.62,NJ,,19525,41431,7171,7581
Beaumont,Texas,31.6,57326,60784,118110,7584,10516,2.47,TX,908,18815,53597,4079,58008
Beaverton,Oregon,35.6,47325,49252,96577,4645,18933,2.46,OR,905,15452,80975,10538,3100
Bellevue,Washington,37.4,70763,69051,139814,5382,54654,2.43,WA,1949,12215,82378,52223,4151
Bellflower,California,33.4,38936,39498,78434,2154,24607,3.58,CA,783,42472,23336,10764,12839
Bellingham,Washington,30.7,41286,43857,85143,4703,8713,2.44,WA,2056,6966,74183,8010,2325
Bend,Oregon,37.3,42294,44723,87017,6199,3032,2.39,OR,1818,8173,83689,2726,465
Berkeley,California,32.5,60142,60829,120971,3736,25000,2.35,CA,1868,15429,82949,27089,11255
Bethlehem,Pennsylvania,35.1,35861,38506,74367,4704,6295,2.46,PA,,23409,64526,3759,7821
Billings,Montana,36.3,52705,57565,110270,9121,3206,2.4,MT,6066,7526,102522,1873,2200
Birmingham,Alabama,35.6,102122,112789,214911,13212,8258,2.21,AL,1319,8940,51728,1500,157985
Bismarck,North Dakota,38,34675,35565,70240,4145,2064,2.11,ND,4040,1667,64719,930,1700
Bk,California,37,50405,54909,105314,4048,32435,2.52,CA,1639,22089,79582,14636,4729
Bloomington,Illinois,35.1,37972,40323,78295,3888,7287,2.34,IL,182,3461,60652,6549,11240
Bloomington,Indiana,23.5,40588,43227,83815,2368,10033,2.33,IN,912,3643,71200,9801,5133
Bloomington,Minnesota,40.9,43318,43118,86436,6176,10728,2.3,MN,1745,8021,71874,4689,5828
Boca Raton,Florida,47.3,44760,48466,93226,4367,21117,2.22,FL,556,14735,80781,2494,4527
Boise,Idaho,34.9,110099,108181,218280,16004,13409,2.61,ID,4046,19480,204913,9806,4413
Bolingbrook,Illinois,33.7,36295,35801,72096,2951,15212,3.42,IL,323,16904,40458,9788,12671
Bossier City,Louisiana,32.7,33428,34669,68097,8108,2980,2.4,LA,630,5589,47454,2175,19520
Boston,Massachusetts,31.8,322149,347320,669469,18350,190123,2.38,MA,5580,130656,378543,69976,189347
Boulder,Colorado,29,56342,51000,107342,4061,12993,2.24,CO,767,9795,98243,8772,1615
Boynton Beach,Florida,45.8,33701,40271,73972,4727,15431,2.45,FL,,12553,49704,2114,20616
Brandon,Florida,36.1,55679,58289,113968,9417,16390,2.64,FL,1921,26224,80811,9440,23475
Brentwood,New York,34.2,31395,32397,63792,1492,27058,4.98,NY,4242,40111,46347,1647,8619
Bridgeport,Connecticut,34.1,71509,76110,147619,4646,44475,2.86,CT,2527,59036,68007,8546,53770
Brockton,Massachusetts,35.2,46273,49041,95314,3036,27313,2.88,MA,881,10890,40110,2528,43646
Broken Arrow,Oklahoma,36.8,52136,55459,107595,6797,6845,2.77,OK,11963,9191,94366,4206,7198
Brooklyn Park,Minnesota,35.1,37845,41305,79150,3506,17490,2.85,MN,1173,4138,41760,14443,22550
Broomfield,Colorado,36.8,31755,33310,65065,3966,5316,2.53,CO,601,8065,58341,5193,1154
Brownsville,Texas,30.6,87689,96199,183888,4211,53301,3.48,TX,1165,170041,174670,1589,1239
Bryan,Texas,29.4,41761,40345,82106,3602,12014,2.55,TX,3557,29647,59742,2688,11914
Buena Park,California,35.7,41593,41671,83264,3116,28430,3.55,CA,361,32915,48412,24624,901
Buffalo,New York,33.1,124537,133529,258066,11231,24630,2.27,NY,4406,29656,130078,14518,101254
Caguas,Puerto Rico,40.4,34743,42265,77008,,,,PR,624,76349,,,
Camarillo,California,40.8,31941,35682,67623,4384,9735,2.77,CA,742,16186,59702,7198,1219
Cambridge,Massachusetts,31.5,55421,54981,110402,2495,27757,2.06,MA,906,9433,80551,18441,11880
Camden,New Jersey,27.9,36437,39694,76131,1425,11317,3,NJ,,41473,19907,1686,35237
Canton,Ohio,33.4,34476,37419,71895,3404,2204,2.32,OH,358,3597,53571,,21353
Cape Coral,Florida,45,85626,89604,175230,14446,24185,2.85,FL,1040,33016,163396,3314,7311
Carlsbad,California,42.1,55119,58347,113466,6031,17689,2.68,CA,1513,12969,98705,11948,876
Carmel,Indiana,39.9,42928,46101,89029,2723,9645,2.71,IN,,3111,77178,11223,2171
Carmichael,California,41,29281,33934,63215,4225,7378,2.39,CA,2603,9291,55862,4205,4675
Carolina,Puerto Rico,42,64758,77308,142066,,,,PR,12143,139967,,,
Carrollton,Texas,36.9,66928,66218,133146,5720,35327,2.78,TX,812,46850,102948,18456,10923
Carson,California,40.4,43790,49506,93296,4273,33860,3.7,CA,2119,32938,28801,31706,19947
Cary,North Carolina,39.9,78932,81582,160514,7426,30008,2.61,NC,1752,10327,119814,25124,15496
Casas Adobes,Arizona,44.8,30890,34375,65265,6601,7024,2.24,AZ,2047,13609,58956,3009,1854
Cedar Park,Texas,34.4,31248,33589,64837,3090,5207,3.05,TX,219,11872,56991,5654,3667
Cedar Rapids,Iowa,36.2,63109,67296,130405,7823,5404,2.32,IA,1243,5328,116851,5406,11921
Centennial,Colorado,42.4,53222,56504,109726,7226,9501,2.66,CO,1219,8086,98174,7041,4005
Centreville,Virginia,36,34749,37033,71782,3779,27797,2.97,VA,355,9613,39129,25058,6724
Champaign,Illinois,28.7,43326,42760,86086,3734,12261,2.25,IL,,4015,58099,11746,16163
Chandler,Arizona,35.6,128885,131948,260833,15870,38721,2.78,AZ,6601,57159,207993,33079,16163
Charleston,South Carolina,35,63956,71568,135524,9368,5767,2.4,SC,633,3929,104016,2773,29998
Charlotte,North Carolina,34.3,396646,430475,827121,36046,128897,2.52,NC,8746,113731,446795,55399,301568
Chattanooga,Tennessee,36.6,83640,92957,176597,10001,10599,2.4,TN,1092,10918,114140,4602,59918
Cheektowaga,New York,40.7,37476,38599,76075,5408,3532,2.3,NY,,1994,63541,1584,10562
Chesapeake,Virginia,36.7,114964,120465,235429,29772,13966,2.73,VA,2087,12959,150414,11354,73850
Chicago,Illinois,34.2,1320015,1400541,2720556,72042,573463,2.53,IL,23323,785725,1374535,195084,873316
Chico,California,29.9,46168,44168,90336,4519,8425,2.5,CA,2766,15578,80467,6101,3164
Chino,California,36.5,50989,34610,85599,4186,18666,3.62,CA,4790,45495,44543,12948,6815
Chino Hills,California,41.9,39639,38674,78313,3358,24764,3.05,CA,1773,22539,40030,28132,3506
Chula Vista,California,34.6,131485,134269,265754,12368,82710,3.32,CA,1652,156522,183753,48506,15641
Cicero,Illinois,28.5,43153,40714,83867,629,33801,3.89,IL,964,76425,30824,1193,2865
Cincinnati,Ohio,32.7,143654,154883,298537,13699,16896,2.08,OH,3362,9121,162245,7633,133430
Citrus Heights,California,37.8,41982,45071,87053,6171,9466,2.49,CA,1514,14661,77525,3615,5979
Clarksville,Tennessee,29.7,75029,74161,149190,20803,8211,2.64,TN,2338,16004,104626,6348,39445
Clearwater,Florida,47,55225,57754,112979,10631,17686,2.4,FL,867,17211,97195,2434,12369
Cleveland,Ohio,36,186436,201623,388059,19849,18830,2.24,OH,6140,40603,166958,10102,205395
Clifton,New Jersey,38.5,41932,44409,86341,2603,27979,3.11,NJ,2417,33176,51516,5840,8743
Clovis,California,37.8,52392,51780,104172,6173,13409,2.76,CA,1876,23744,78029,14249,3434
College Station,Texas,22.9,54125,53774,107899,2471,16145,2.52,TX,605,17784,84892,10915,11316
Colorado Springs,Colorado,34.8,225544,231018,456562,49291,35320,2.48,CO,11146,78711,374900,22619,38976
Columbia,Maryland,37.9,52202,51265,103467,6526,23249,2.68,MD,488,8033,58343,17821,30075
Columbia,Missouri,26.8,56544,62554,119098,4548,10729,2.37,MO,1713,4956,96067,8673,15489
Columbia,South Carolina,28,67686,65707,133393,5708,6074,2.32,SC,1420,7545,73232,3501,56398
Columbus,Georgia,33.7,98785,101794,200579,21747,10376,2.62,GA,1343,15180,97436,7039,95366
Columbus,Ohio,32.5,413981,435086,849067,40238,101129,2.4,OH,11496,46855,549468,48974,256764
Compton,California,30.1,49264,49184,98448,897,30660,4.08,CA,298,67523,53919,1732,26395
Concord,California,39.6,62310,66358,128668,6287,37428,2.72,CA,1447,41400,92575,17453,6150
Concord,North Carolina,35.7,42732,44961,87693,4621,8847,2.72,NC,216,11301,60500,3566,19027
Conroe,Texas,31.5,34907,33685,68592,4871,13839,2.65,TX,707,23863,57480,2302,6713
Coral Springs,Florida,37.2,63316,66186,129502,4724,38552,3.17,FL,1262,40817,90896,6573,27225
Corona,California,37.1,79749,84493,164242,7709,42131,2.97,CA,2268,68592,119403,21044,9437
Corpus Christi,Texas,35,160488,163594,324082,25078,30834,2.69,TX,2972,200737,292663,9051,14978
Costa Mesa,California,34.8,59097,54089,113186,4095,26645,2.59,CA,1961,38239,87320,9165,2925
Cranston,Rhode Island,39.9,38365,42712,81077,4702,10631,2.56,RI,839,10418,64806,5978,8193
Dale City,Virginia,33.4,35984,35415,71399,6085,22306,3.65,VA,548,23868,34640,9251,18074
Dallas,Texas,32.6,639019,661063,1300082,41026,326825,2.59,TX,17510,549966,839169,47099,322570
Daly City,California,39.7,53817,52757,106574,3782,56640,3.26,CA,893,24316,25522,61918,5401
Danbury,Connecticut,37.3,43435,41227,84662,3752,25675,2.74,CT,1086,25145,55917,7350,8454
Davenport,Iowa,35.2,50123,52454,102577,7090,4065,2.39,IA,901,9131,88145,3071,12761
Davie,Florida,40.8,48754,52140,100894,4655,26532,2.72,FL,464,35311,79832,4581,11005
Davis,California,26.3,33493,34163,67656,2176,13997,2.69,CA,779,9041,47997,17816,2081
Dayton,Ohio,32.8,66631,73966,140597,8465,7381,2.26,OH,2010,4945,86016,1885,57280
Dearborn,Michigan,33.5,46482,48698,95180,3163,23920,3.04,MI,713,3533,88742,4134,3699
Decatur,Illinois,40.4,34646,38210,72856,5291,1224,2.23,IL,265,1709,56231,1343,17939
Deerfield Beach,Florida,41.4,37155,42614,79769,3882,23642,2.46,FL,698,12729,53037,1428,25344
Delray Beach,Florida,47.9,32219,34042,66261,4232,16639,2.35,FL,,6397,40980,1696,21138
Deltona,Florida,39.9,44853,43621,88474,5664,7098,2.89,FL,651,31357,75686,1292,12056
Denton,Texas,28.7,62478,68569,131047,6352,18451,2.66,TX,1857,29350,106278,7061,15542
Denver,Colorado,34.1,341137,341408,682545,29363,113222,2.33,CO,14008,207847,546370,32491,72288
Des Moines,Iowa,34.5,103726,106591,210317,11780,23857,2.41,IA,3964,25306,168057,15205,26353
Detroit,Michigan,34.8,319265,357859,677124,29511,39861,2.6,MI,6007,53980,104260,10804,545988
Dothan,Alabama,38.9,32172,35364,67536,6334,1699,2.59,AL,656,1704,43516,1175,23243
Downey,California,37.3,53006,61205,114211,2281,39977,3.45,CA,535,84806,77220,9776,5498
Duluth,Minnesota,34.7,41271,44855,86126,5015,2258,2.25,MN,1894,1981,81720,1721,3891
Durham,North Carolina,33.2,121153,136445,257598,12528,38642,2.4,NC,3154,36304,127680,15740,108088
Eagan,Minnesota,36.8,31587,34701,66288,2699,8642,2.49,MN,684,4328,52612,6923,8032
East Los Angeles,California,32.6,60460,59206,119666,1101,49575,3.75,CA,778,116211,48980,1053,508
East Orange,New Jersey,35.5,29995,34967,64962,1870,15164,2.85,NJ,535,6368,3165,656,57859
Eau Claire,Wisconsin,32,32327,35106,67433,3261,2833,2.4,WI,876,1488,62194,4202,725
Edinburg,Texas,29.3,39422,45079,84501,2409,16569,3.31,TX,,74698,77560,812,
Edmond,Oklahoma,32.5,45191,44899,90090,5006,5585,2.68,OK,8051,6187,78979,5349,4987
El Cajon,California,32.7,54450,49238,103688,7103,31865,3.14,CA,1891,31542,84703,4561,7534
El Monte,California,37.3,57961,58784,116745,1686,59655,3.67,CA,718,77523,64138,33384,307
El Paso,Texas,33.1,332797,348339,681136,47693,159709,3.03,TX,7359,542017,587683,12370,34473
Elgin,Illinois,35.7,54852,56224,111076,4024,30167,2.97,IL,789,48221,76126,7606,7528
Elizabeth,New Jersey,34.2,65896,63116,129012,1131,63413,3.18,NJ,797,86456,70873,3369,29822
Elk Grove,California,36.1,80057,86833,166890,7762,38693,3.34,CA,2020,28781,86909,59424,20185
Ellicott City,Maryland,42.4,34406,36526,70932,3856,17587,2.73,MD,396,1602,43537,22551,6089
Enterprise,Nevada,34.1,69146,66328,135474,7526,31173,2.89,NV,2777,25307,85505,35444,14637
Erie,Pennsylvania,35.3,48618,50852,99470,7093,6275,2.31,PA,913,7859,78636,3306,20564
Escondido,California,33.3,76551,74907,151458,8110,46298,3.27,CA,3151,73793,120781,14398,5631
Eugene,Oregon,33.4,79071,84377,163448,8896,14503,2.34,OR,5035,17356,146807,11073,5632
Evanston,Illinois,36.8,34146,41377,75523,2058,15003,2.29,IL,544,9075,54496,8800,11671
Evansville,Indiana,38,57198,60481,117679,9063,3169,2.25,IN,713,3263,100055,1376,17564
Everett,Washington,37,56212,51800,108012,7880,19499,2.36,WA,3645,15889,88395,9807,8304
Fairfield,California,34.7,55550,57422,112972,8607,24503,3.14,CA,1016,32976,64106,22428,18274
Fall River,Massachusetts,39.3,43314,45456,88770,4143,14775,2.21,MA,1481,9081,77242,1891,6389
Fargo,North Dakota,30.7,60560,58690,119250,6154,9428,2.18,ND,3102,3567,107349,4646,6477
Farmington Hills,Michigan,42.1,37527,43805,81332,3650,18033,2.41,MI,313,2052,57815,10759,13483
Fayetteville,Arkansas,27.1,41959,40873,82832,4744,6313,2.28,AR,2058,5535,68830,4707,6927
Fayetteville,North Carolina,30.7,101051,100914,201965,28089,12863,2.5,NC,6603,25080,102075,8949,90625
Federal Way,Washington,36.4,49151,46037,95188,7135,18565,2.68,WA,2396,14049,59035,16026,15495
Fishers,Indiana,34.5,42161,43910,86071,2469,6138,2.8,IN,,3409,73361,7571,6873
Flagstaff,Arizona,23.9,33224,37093,70317,3667,4262,2.55,AZ,5117,13606,58696,2646,3144
Flint,Michigan,35.3,48984,49313,98297,3757,2138,2.38,MI,1508,2525,44786,657,55137
Florence-Graham,California,30.2,34186,32173,66359,416,28696,4.57,CA,,60895,30591,,5060
Flower Mound,Texas,40.2,35200,35824,71024,4217,6860,3.01,TX,1095,6149,61433,6577,3559
Folsom,California,40.9,41051,35317,76368,4187,13234,2.62,CA,998,5822,57435,15569,3985
Fontana,California,29.5,100644,106828,207472,4076,61448,4.15,CA,2656,156134,85044,14281,16986
Fort Collins,Colorado,29.6,80893,80288,161181,8425,9704,2.45,CO,3271,15521,150568,7913,3176
Fort Lauderdale,Florida,42.8,93948,84639,178587,8897,47582,2.38,FL,1366,28148,109751,3791,62954
Fort Myers,Florida,37.3,36850,37165,74015,4312,15365,2.45,FL,,17866,50169,3519,17298
Fort Smith,Arkansas,34.9,43346,44849,88195,3408,13177,2.44,AR,2993,17104,66004,6228,9851
Fort Wayne,Indiana,34.7,124815,133329,258144,13539,19146,2.45,IN,3577,21234,204114,13596,46319
Fort Worth,Texas,32.6,414126,422843,836969,39182,143404,2.88,TX,7504,296133,575180,42053,167449
Framingham,Massachusetts,40.3,35442,35768,71210,2625,19070,2.49,MA,849,13000,52205,5993,6944
Franklin,Tennessee,38.3,34991,37644,72635,3303,6876,2.73,TN,,4916,61459,3911,7749
Frederick,Maryland,36.1,33146,36336,69482,3870,14211,2.48,MD,1333,13065,49181,5711,13372
Fremont,California,38.3,114383,117808,232191,4629,109427,3.12,CA,1606,29594,67294,141953,7762
Fresno,California,30,256130,263942,520072,18410,103453,3.12,CA,11380,256145,325651,75318,46072
Frisco,Texas,37.2,73989,80399,154388,6297,30913,3.05,TX,2947,17093,111477,30341,10821
Fullerton,California,34.5,69549,71300,140849,5394,43404,2.97,CA,1668,53459,92216,33937,5241
Gainesville,Florida,26,60803,69330,130133,4788,15272,2.33,FL,740,12208,87612,11963,32912
Gaithersburg,Maryland,35.7,32211,35234,67445,2126,28133,2.73,MD,672,18721,36639,13169,12482
Garden Grove,California,37.8,86779,88605,175384,4316,80677,3.66,CA,1713,66038,66782,71737,1840
Garland,Texas,34.5,116406,120430,236836,10407,62975,3.12,TX,3083,90989,154484,27217,40507
Gary,Indiana,38.1,35876,41478,77354,3952,1884,2.35,IN,551,6266,13498,537,61416
Gastonia,North Carolina,36.9,35527,39023,74550,3537,5715,2.67,NC,603,6653,46362,2788,22179
German,Maryland,34.9,41115,43007,84122,2443,27877,2.95,MD,1232,18202,43330,15921,22273
Gilbert,Arizona,33.2,116711,130812,247523,10817,24531,3.2,AZ,5965,39937,211322,19740,9076
Glen Burnie,Maryland,36.5,33398,36461,69859,5298,6971,2.58,MD,708,9137,49982,3194,17010
Glendale,Arizona,34.4,116795,123319,240114,13241,44133,2.89,AZ,4064,83711,202539,15245,16254
Glendale,California,42.1,98181,102844,201025,4448,111510,2.69,CA,474,30807,146718,42070,4619
Goodyear,Arizona,38.6,36711,42292,79003,7650,11774,2.97,AZ,1301,21603,63493,5701,8678
Grand Prairie,Texas,33.1,90811,96944,187755,7073,44888,3.18,TX,1754,85543,113981,11446,54934
Grand Rapids,Michigan,32.1,95669,99430,195099,8972,19176,2.56,MI,3436,31282,143702,6057,42256
Greeley,Colorado,31,50792,50091,100883,4294,11480,2.75,CO,2449,39271,92874,2202,2856
Green Bay,Wisconsin,32.9,52517,52704,105221,5519,9813,2.37,WI,6547,16786,82033,5652,7561
Greensboro,North Carolina,35.5,132251,153093,285344,14011,26667,2.36,NC,3688,22147,144930,12683,124108
Greenville,North Carolina,26.2,39897,50691,90588,4283,4183,2.4,NC,917,4409,50289,2787,37355
Gresham,Oregon,36.7,53866,56716,110582,6326,17860,2.67,OR,2084,23576,94904,6641,7721
Guaynabo,Puerto Rico,42.2,33066,37426,70492,,,,PR,589,69936,,,
Gulfport,Mississippi,35.1,33108,38764,71872,6646,3072,2.54,MS,,4247,42870,1723,27799
Hammond,Indiana,36,38923,38687,77610,4144,9224,2.61,IN,1509,25320,41705,1540,20442
Hampton,Virginia,35.5,66214,70240,136454,19638,6204,2.48,VA,2534,7513,61753,4561,70303
Harlingen,Texas,30.1,32404,33365,65769,2761,10391,3,TX,,51727,61844,2166,
Hartford,Connecticut,31,58042,65972,124014,3130,28467,2.59,CT,2451,55959,46529,4105,49939
Hawthorne,California,33.7,43682,44762,88444,2123,32107,2.97,CA,906,50115,23665,7601,21566
Hayward,California,34.3,78152,80148,158300,4385,60970,3.32,CA,2178,64880,74800,46285,20219
Hemet,California,36.8,38622,45251,83873,5613,13330,2.97,CA,2288,37448,67817,3697,7650
Henderson,Nevada,42.5,139412,146246,285658,25045,35666,2.55,NV,3036,47154,234301,24931,18816
Hesperia,California,29.4,43588,49698,93286,3739,16667,3.52,CA,1712,53765,78718,2131,4889
Hialeah,Florida,43,111530,125552,237082,1844,170148,3.31,FL,,227508,219991,1149,5687
High Point,North Carolina,35.5,51751,58077,109828,5204,16315,2.65,NC,1181,11446,58004,11060,39369
Highlands Ranch,Colorado,39.6,49186,53281,102467,4840,8827,2.72,CO,1480,8393,94499,5650,1779
Hillsboro,Oregon,35.3,50926,51434,102360,6625,19531,2.68,OR,4524,22169,81072,13704,4347
Hollywood,Florida,41.4,75358,74363,149721,6056,55158,2.65,FL,1010,53247,107916,4696,34916
Homestead,Florida,31.4,31401,35099,66500,2287,24408,3.48,FL,,41910,48820,,16705
Hoover,Alabama,38.5,38040,46799,84839,4819,8229,2.58,AL,,3430,61869,4759,18191
Houston,Texas,32.6,1149686,1148942,2298628,71898,696210,2.66,TX,13157,1028148,1386389,173854,529431
Huntington Beach,California,41.6,99967,101960,201927,10454,35368,2.67,CA,2843,42303,156071,29095,4027
Huntsville,Alabama,38.1,91764,97350,189114,16637,12691,2.18,AL,1755,10887,121904,6566,61561
Independence,Missouri,38.6,54348,62907,117255,10220,4911,2.33,MO,1883,12236,98940,558,10394
Indianapolis,Indiana,34.1,410615,437808,848423,42186,72456,2.53,IN,8656,83426,553665,29307,253932
Indio,California,35.9,43803,43723,87526,3647,22538,3.08,CA,1112,58852,48562,2866,3300
Inglewood,California,34.9,52995,58661,111656,2703,34171,3.12,CA,1395,60873,33966,2712,44991
Iowa City,Iowa,25.5,37089,37138,74227,2047,9202,2.36,IA,610,4072,59839,5533,7219
Irvine,California,34.6,125411,131516,256927,5532,116366,2.73,CA,799,19266,127358,126499,8670
Irving,Texas,32.3,117189,119428,236617,6207,86756,2.78,TX,2960,97862,132779,49421,30356
Jackson,Mississippi,31.7,79039,91772,170811,8146,1789,2.65,MS,323,3017,28775,864,139567
Jackson,Tennessee,35.3,30007,36973,66980,3529,2097,2.52,TN,564,3383,36037,1171,30103
Jacksonville,Florida,35.7,419203,448828,868031,75432,85650,2.62,FL,8177,80064,543582,50895,282692
Jacksonville,North Carolina,24.2,40015,27348,67363,8252,3732,2.51,NC,1741,11947,51245,4204,13253
Jersey City,New Jersey,34.3,131765,132512,264277,4374,109186,2.57,NJ,3356,79718,99300,67610,65051
Johns Creek,Georgia,39,40282,43057,83339,1983,29000,3.19,GA,826,5924,48414,24289,11273
Johnson City,Tennessee,38.2,31019,34350,65369,5038,2878,2.18,TN,400,1114,59147,1877,6016
Joliet,Illinois,33.1,70863,79162,150025,7353,22409,3.13,IL,523,45291,106160,2813,27883
Jonesboro,Arkansas,32.6,35666,38240,73906,3682,3222,2.44,AR,2109,4614,56626,1282,14599
Jurupa Valley,California,33.8,49430,50884,100314,3833,25338,3.87,CA,1554,66525,58201,4992,3091
Kalamazoo,Michigan,26.4,37175,38865,76040,3048,3482,2.36,MI,954,4114,56866,2429,19194
Kansas City,Kansas,33.4,74606,76655,151261,8139,25507,2.71,KS,2749,44342,96113,7301,40177
Kansas City,Missouri,35.9,228430,246931,475361,24710,37787,2.35,MO,5796,46037,296623,17061,147739
Kendall,Florida,40.2,36658,39808,76466,1678,31180,2.81,FL,,47521,70266,3650,2937
Kenner,Louisiana,36.9,33993,33113,67106,2485,12352,2.57,LA,158,17769,44863,2729,17172
Kennewick,Washington,32,38492,40411,78903,5158,8376,2.78,WA,1101,19395,65228,4252,2887
Kenosha,Wisconsin,36.3,49349,50507,99856,6238,7443,2.55,WI,1264,18772,84780,2537,11915
Kent,Washington,33.4,61825,65137,126962,7985,38175,3.06,WA,3651,21928,67918,26168,20450
Killeen,Texas,29.2,69442,71367,140809,24281,15769,2.72,TX,2362,32600,75823,8183,54601
Kirkland,Washington,40.8,42159,45108,87267,5156,18570,2.3,WA,1155,6720,70491,15277,1041
Kissimmee,Florida,36.7,33283,35869,69152,2449,16879,3.01,FL,,44120,51123,2634,6623
Knoxville,Tennessee,33.1,89978,95334,185312,10897,10285,2.21,TN,2304,8640,145055,4717,35049
Lafayette,Indiana,33.5,34313,36857,71170,5045,5697,2.19,IN,,9151,63157,1167,6752
Lafayette,Louisiana,31.7,64018,63643,127661,5206,5396,2.54,LA,1183,6556,85282,2776,39862
Laguna Niguel,California,45.8,30193,35619,65812,2648,12571,2.58,CA,,9203,55919,8499,881
Lake Charles,Louisiana,31.8,35678,40388,76066,4477,3215,2.36,LA,592,3157,36346,1444,38358
Lake Forest,California,40.3,41515,40982,82497,3748,20784,2.76,CA,1482,17410,59846,16690,3526
Lakeland,Florida,38.1,47840,56570,104410,7390,11592,2.56,FL,288,16501,75636,3348,25111
Lakewood,California,39.9,41523,40069,81592,4094,18274,3.13,CA,398,24987,43766,18999,6123
Lakewood,Colorado,37.7,76013,76576,152589,9988,14169,2.29,CO,2597,33630,139669,7340,2679
Lancaster,California,30.9,80668,80445,161113,7892,17247,3.25,CA,2186,57423,110311,8654,36007
Lansing,Michigan,31.4,54333,59777,114110,5327,8371,2.39,MI,5254,14245,75688,4168,34196
